condition,subject,n_trials,avg_theta_mean,avg_theta_std,avg_theta_min,avg_theta_max,avg_alpha_mean,avg_alpha_std,avg_alpha_min,avg_alpha_max,avg_beta_mean,avg_beta_std,avg_beta_min,avg_beta_max,avg_gamma_mean,avg_gamma_std,avg_gamma_min,avg_gamma_max,alpha_beta_ratio_mean,alpha_beta_ratio_std,alpha_beta_ratio_min,alpha_beta_ratio_max,beta_theta_ratio_mean,beta_theta_ratio_std,beta_theta_ratio_min,beta_theta_ratio_max,alpha_theta_ratio_mean,alpha_theta_ratio_std,alpha_theta_ratio_min,alpha_theta_ratio_max,TP9_theta_mean,TP9_theta_std,TP9_theta_min,TP9_theta_max,TP9_alpha_mean,TP9_alpha_std,TP9_alpha_min,TP9_alpha_max,TP9_beta_mean,TP9_beta_std,TP9_beta_min,TP9_beta_max,TP9_gamma_mean,TP9_gamma_std,TP9_gamma_min,TP9_gamma_max,AF7_theta_mean,AF7_theta_std,AF7_theta_min,AF7_theta_max,AF7_alpha_mean,AF7_alpha_std,AF7_alpha_min,AF7_alpha_max,AF7_beta_mean,AF7_beta_std,AF7_beta_min,AF7_beta_max,AF7_gamma_mean,AF7_gamma_std,AF7_gamma_min,AF7_gamma_max,AF8_theta_mean,AF8_theta_std,AF8_theta_min,AF8_theta_max,AF8_alpha_mean,AF8_alpha_std,AF8_alpha_min,AF8_alpha_max,AF8_beta_mean,AF8_beta_std,AF8_beta_min,AF8_beta_max,AF8_gamma_mean,AF8_gamma_std,AF8_gamma_min,AF8_gamma_max,TP10_theta_mean,TP10_theta_std,TP10_theta_min,TP10_theta_max,TP10_alpha_mean,TP10_alpha_std,TP10_alpha_min,TP10_alpha_max,TP10_beta_mean,TP10_beta_std,TP10_beta_min,TP10_beta_max,TP10_gamma_mean,TP10_gamma_std,TP10_gamma_min,TP10_gamma_max
concentrating,a,1,0.7225678268614062,,0.7225678268614062,0.7225678268614062,10.332645935094753,,10.332645935094753,10.332645935094753,85.85564106722885,,85.85564106722885,85.85564106722885,273.46370057706656,,273.46370057706656,273.46370057706656,0.12034906275993938,,0.12034906275993938,0.12034906275993938,118.82018251512406,,118.82018251512406,118.82018251512406,14.299897602660117,,14.299897602660117,14.299897602660117,0.7403200541728082,,0.7403200541728082,0.7403200541728082,11.82579019318916,,11.82579019318916,11.82579019318916,25.175038177447124,,25.175038177447124,25.175038177447124,18.124781655435754,,18.124781655435754,18.124781655435754,0.29728021317213726,,0.29728021317213726,0.29728021317213726,3.4963299344640273,,3.4963299344640273,3.4963299344640273,7.434785542157882,,7.434785542157882,7.434785542157882,6.325116361053462,,6.325116361053462,6.325116361053462,1.021529736423401,,1.021529736423401,1.021529736423401,16.32734529745054,,16.32734529745054,16.32734529745054,295.08115505482795,,295.08115505482795,295.08115505482795,1057.6958321135287,,1057.6958321135287,1057.6958321135287,0.8311413036772783,,0.8311413036772783,0.8311413036772783,9.681118315275281,,9.681118315275281,9.681118315275281,15.731585494482436,,15.731585494482436,15.731585494482436,11.709072178248439,,11.709072178248439,11.709072178248439
concentrating,b,1,9.09160769797844,,9.09160769797844,9.09160769797844,117.96466925730978,,117.96466925730978,117.96466925730978,1089.439594458807,,1089.439594458807,1089.439594458807,2842.9228236165873,,2842.9228236165873,2842.9228236165873,0.10828013765729731,,0.10828013765729731,0.10828013765729731,119.82914690666304,,119.82914690666304,119.82914690666304,12.975116522409976,,12.975116522409976,12.975116522409976,1.129660021444779,,1.129660021444779,1.129660021444779,8.821525175816031,,8.821525175816031,8.821525175816031,24.742867641696098,,24.742867641696098,24.742867641696098,19.239759782167805,,19.239759782167805,19.239759782167805,0.11827332182972282,,0.11827332182972282,0.11827332182972282,1.4720411478686857,,1.4720411478686857,1.4720411478686857,5.8866351190577575,,5.8866351190577575,5.8866351190577575,6.976100419416056,,6.976100419416056,6.976100419416056,34.50021565692718,,34.50021565692718,34.50021565692718,456.32221499563366,,456.32221499563366,456.32221499563366,4314.437565927074,,4314.437565927074,4314.437565927074,11337.15940715743,,11337.15940715743,11337.15940715743,0.6182817917120693,,0.6182817917120693,0.6182817917120693,5.242895709920723,,5.242895709920723,5.242895709920723,12.691309147400935,,12.691309147400935,12.691309147400935,8.316027107333557,,8.316027107333557,8.316027107333557
concentrating,c,1,15.627170960462584,,15.627170960462584,15.627170960462584,143.5144641151915,,143.5144641151915,143.5144641151915,676.89902100234,,676.89902100234,676.89902100234,913.126421300201,,913.126421300201,913.126421300201,0.21201753830678885,,0.21201753830678885,0.21201753830678885,43.315519022280085,,43.315519022280085,43.315519022280085,9.183649713584709,,9.183649713584709,9.183649713584709,1.0701493870030392,,1.0701493870030392,1.0701493870030392,14.910777353335046,,14.910777353335046,14.910777353335046,19.534658093440736,,19.534658093440736,19.534658093440736,13.291359075121955,,13.291359075121955,13.291359075121955,52.70631807775466,,52.70631807775466,52.70631807775466,347.3439009084427,,347.3439009084427,347.3439009084427,2103.399019343855,,2103.399019343855,2103.399019343855,1994.2832478748917,,1994.2832478748917,1994.2832478748917,7.98865965330999,,7.98865965330999,7.98865965330999,201.56445170316601,,201.56445170316601,201.56445170316601,561.708100187328,,561.708100187328,561.708100187328,1627.4101192654603,,1627.4101192654603,1627.4101192654603,0.7435567237826486,,0.7435567237826486,0.7435567237826486,10.238726495822155,,10.238726495822155,10.238726495822155,22.954306384736253,,22.954306384736253,22.954306384736253,17.52095898532973,,17.52095898532973,17.52095898532973
concentrating,d,1,1.634466480633528,,1.634466480633528,1.634466480633528,16.311377908318544,,16.311377908318544,16.311377908318544,433.72354314252374,,433.72354314252374,433.72354314252374,671.9383588356876,,671.9383588356876,671.9383588356876,0.037607776119634215,,0.037607776119634215,0.037607776119634215,265.3609286465209,,265.3609286465209,265.3609286465209,9.979634395436587,,9.979634395436587,9.979634395436587,1.1785739640627355,,1.1785739640627355,1.1785739640627355,10.459494971185867,,10.459494971185867,10.459494971185867,15.306840295416619,,15.306840295416619,15.306840295416619,11.235970248131723,,11.235970248131723,11.235970248131723,0.060177957290777295,,0.060177957290777295,0.060177957290777295,0.7693510221971169,,0.7693510221971169,0.7693510221971169,3.407217631342798,,3.407217631342798,3.407217631342798,2.4082628230614773,,2.4082628230614773,2.4082628230614773,4.06918384401178,,4.06918384401178,4.06918384401178,46.44624901002314,,46.44624901002314,46.44624901002314,1706.1949949834955,,1706.1949949834955,1706.1949949834955,2668.962442204834,,2668.962442204834,2668.962442204834,1.229930157168819,,1.229930157168819,1.229930157168819,7.5704166298680615,,7.5704166298680615,7.5704166298680615,9.985119659840203,,9.985119659840203,9.985119659840203,5.146760066722928,,5.146760066722928,5.146760066722928
neutral,a,1,0.7913787244068573,,0.7913787244068573,0.7913787244068573,7.057579032426362,,7.057579032426362,7.057579032426362,18.506348794174087,,18.506348794174087,18.506348794174087,16.84706653544931,,16.84706653544931,16.84706653544931,0.3813598841630031,,0.3813598841630031,0.3813598841630031,23.384946073758424,,23.384946073758424,23.384946073758424,8.918080325846587,,8.918080325846587,8.918080325846587,1.1303260452850425,,1.1303260452850425,1.1303260452850425,8.976457080326977,,8.976457080326977,8.976457080326977,25.231803525475353,,25.231803525475353,25.231803525475353,26.840669331606687,,26.840669331606687,26.840669331606687,0.23522982297220535,,0.23522982297220535,0.23522982297220535,3.631036216305205,,3.631036216305205,3.631036216305205,8.725109164573079,,8.725109164573079,8.725109164573079,4.425206440546829,,4.425206440546829,4.425206440546829,1.0084616778311715,,1.0084616778311715,1.0084616778311715,7.760920936035941,,7.760920936035941,7.760920936035941,21.059499383011275,,21.059499383011275,21.059499383011275,10.309097243649513,,10.309097243649513,10.309097243649513,0.7914973515390101,,0.7914973515390101,0.7914973515390101,7.861901897037323,,7.861901897037323,7.861901897037323,19.008983103636645,,19.008983103636645,19.008983103636645,25.813293125994218,,25.813293125994218,25.813293125994218
neutral,b,1,1.0896885996254255,,1.0896885996254255,1.0896885996254255,9.298897025993437,,9.298897025993437,9.298897025993437,21.214570224645964,,21.214570224645964,21.214570224645964,17.52885924949405,,17.52885924949405,17.52885924949405,0.4383259678383902,,0.4383259678383902,0.4383259678383902,19.468470379462865,,19.468470379462865,19.468470379462865,8.53353612141109,,8.53353612141109,8.53353612141109,0.7885548613207247,,0.7885548613207247,0.7885548613207247,6.260181395689611,,6.260181395689611,6.260181395689611,20.18983422954862,,20.18983422954862,20.18983422954862,24.619916895592915,,24.619916895592915,24.619916895592915,0.3290815751384013,,0.3290815751384013,0.3290815751384013,3.4394724818615243,,3.4394724818615243,3.4394724818615243,7.444752226292728,,7.444752226292728,7.444752226292728,5.919585554753769,,5.919585554753769,5.919585554753769,2.114340173081537,,2.114340173081537,2.114340173081537,18.38844728188706,,18.38844728188706,18.38844728188706,38.234031891966275,,38.234031891966275,38.234031891966275,20.151195236869835,,20.151195236869835,20.151195236869835,1.1267777889610389,,1.1267777889610389,1.1267777889610389,9.107486944535555,,9.107486944535555,9.107486944535555,18.98966255077623,,18.98966255077623,18.98966255077623,19.42473931075968,,19.42473931075968,19.42473931075968
neutral,c,1,1.332594782721578,,1.332594782721578,1.332594782721578,18.12145827030929,,18.12145827030929,18.12145827030929,21.48215900871874,,21.48215900871874,21.48215900871874,10.755134351649133,,10.755134351649133,10.755134351649133,0.843558520489236,,0.843558520489236,0.843558520489236,16.120548637332504,,16.120548637332504,16.120548637332504,13.598626157982975,,13.598626157982975,13.598626157982975,1.8955681582623745,,1.8955681582623745,1.8955681582623745,25.243594024862936,,25.243594024862936,25.243594024862936,17.05745554233196,,17.05745554233196,17.05745554233196,4.449249810606068,,4.449249810606068,4.449249810606068,0.3599517481374039,,0.3599517481374039,0.3599517481374039,8.436052571979168,,8.436052571979168,8.436052571979168,8.674727682902299,,8.674727682902299,8.674727682902299,3.1950143813639977,,3.1950143813639977,3.1950143813639977,1.3083893493164678,,1.3083893493164678,1.3083893493164678,15.556045930076388,,15.556045930076388,15.556045930076388,43.19240613755824,,43.19240613755824,43.19240613755824,30.035416944769686,,30.035416944769686,30.035416944769686,1.7664698751700663,,1.7664698751700663,1.7664698751700663,23.250140554318662,,23.250140554318662,23.250140554318662,17.004046672082467,,17.004046672082467,17.004046672082467,5.34085626985678,,5.34085626985678,5.34085626985678
neutral,d,1,1.5882025600331904,,1.5882025600331904,1.5882025600331904,28.408136267706315,,28.408136267706315,28.408136267706315,46.13386559580951,,46.13386559580951,46.13386559580951,20.295801012159103,,20.295801012159103,20.295801012159103,0.6157761960941491,,0.6157761960941491,0.6157761960941491,29.04784739475889,,29.04784739475889,29.04784739475889,17.88697297346797,,17.88697297346797,17.88697297346797,1.0843599265021893,,1.0843599265021893,1.0843599265021893,14.610313617966234,,14.610313617966234,14.610313617966234,18.639919607433267,,18.639919607433267,18.639919607433267,9.503942775553046,,9.503942775553046,9.503942775553046,0.670035913956255,,0.670035913956255,0.670035913956255,5.348818041082527,,5.348818041082527,5.348818041082527,16.28676117373806,,16.28676117373806,16.28676117373806,13.8928530997237,,13.8928530997237,13.8928530997237,3.5467564325382632,,3.5467564325382632,3.5467564325382632,85.8041194274563,,85.8041194274563,85.8041194274563,131.0902850586045,,131.0902850586045,131.0902850586045,44.57648218418722,,44.57648218418722,44.57648218418722,1.0516579671360533,,1.0516579671360533,1.0516579671360533,7.869293984320198,,7.869293984320198,7.869293984320198,18.51849654346221,,18.51849654346221,18.51849654346221,13.209925989172453,,13.209925989172453,13.209925989172453
relaxed,a,1,0.6069489599121923,,0.6069489599121923,0.6069489599121923,18.325733005851315,,18.325733005851315,18.325733005851315,8.047270950756893,,8.047270950756893,8.047270950756893,3.4251877425962727,,3.4251877425962727,3.4251877425962727,2.27726059157082,,2.27726059157082,2.27726059157082,13.258562881335354,,13.258562881335354,13.258562881335354,30.193202750528663,,30.193202750528663,30.193202750528663,1.2299022828384685,,1.2299022828384685,1.2299022828384685,34.20624397027367,,34.20624397027367,34.20624397027367,11.493174909443196,,11.493174909443196,11.493174909443196,4.893145462910325,,4.893145462910325,4.893145462910325,0.12098973655703098,,0.12098973655703098,0.12098973655703098,1.5556754776229704,,1.5556754776229704,1.5556754776229704,3.8600086569337604,,3.8600086569337604,3.8600086569337604,1.9602508720763678,,1.9602508720763678,1.9602508720763678,0.1388766250851145,,0.1388766250851145,0.1388766250851145,1.9255386033537611,,1.9255386033537611,1.9255386033537611,3.742642491122459,,3.742642491122459,3.742642491122459,2.0696148010525306,,2.0696148010525306,2.0696148010525306,0.9380271951681555,,0.9380271951681555,0.9380271951681555,35.61547397215486,,35.61547397215486,35.61547397215486,13.093257745528158,,13.093257745528158,13.093257745528158,4.777739834345867,,4.777739834345867,4.777739834345867
relaxed,b,1,0.30631691154154206,,0.30631691154154206,0.30631691154154206,4.937714096775696,,4.937714096775696,4.937714096775696,10.20537763421003,,10.20537763421003,10.20537763421003,4.151083409979305,,4.151083409979305,4.151083409979305,0.4838345305541366,,0.4838345305541366,0.4838345305541366,33.316402881092635,,33.316402881092635,33.316402881092635,16.119626147725942,,16.119626147725942,16.119626147725942,0.24320239520611522,,0.24320239520611522,0.24320239520611522,3.5406264849087674,,3.5406264849087674,3.5406264849087674,9.19772219202716,,9.19772219202716,9.19772219202716,4.679340354665164,,4.679340354665164,4.679340354665164,0.38888124364127385,,0.38888124364127385,0.38888124364127385,3.1695529313496125,,3.1695529313496125,3.1695529313496125,9.31274396378065,,9.31274396378065,9.31274396378065,2.9995894469278634,,2.9995894469278634,2.9995894469278634,0.324953489486817,,0.324953489486817,0.324953489486817,5.3012836508748356,,5.3012836508748356,5.3012836508748356,13.712236765461983,,13.712236765461983,13.712236765461983,5.59026689286528,,5.59026689286528,5.59026689286528,0.2682305178319623,,0.2682305178319623,0.2682305178319623,7.739393319969567,,7.739393319969567,7.739393319969567,8.598807615570331,,8.598807615570331,8.598807615570331,3.3351369454589115,,3.3351369454589115,3.3351369454589115
